# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: C:\Users\James\Workspace\ELEC5566M-MiniProject\pin_config.csv
# Generated on: Mon May 17 13:19:16 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
R[3],Output,PIN_B12,8A,B8A_N0,PIN_B12,2.5 V,,,,,,,,,,,,,
R[2],Output,PIN_E13,8A,B8A_N0,PIN_E13,2.5 V,,,,,,,,,,,,,
R[1],Output,PIN_C13,8A,B8A_N0,PIN_C13,2.5 V,,,,,,,,,,,,,
R[0],Output,PIN_A13,8A,B8A_N0,PIN_A13,2.5 V,,,,,,,,,,,,,
clk,Input,PIN_AF14,3B,B3B_N0,PIN_AF14,2.5 V,,,,,,,,,,,,,
display_on,Output,PIN_F10,8A,B8A_N0,PIN_F10,2.5 V,,,,,,,,,,,,,
h_sync,Output,PIN_B11,8A,B8A_N0,PIN_B11,2.5 V,,,,,,,,,,,,,
rst,Input,PIN_AB12,3A,B3A_N0,PIN_AB12,2.5 V,,,,,,,,,,,,,
seven_seg[41],Output,PIN_AA25,5A,B5A_N0,PIN_AA25,2.5 V,,,,,,,,,,,,,
seven_seg[40],Output,PIN_AA26,5B,B5B_N0,PIN_AA26,2.5 V,,,,,,,,,,,,,
seven_seg[39],Output,PIN_AB26,5A,B5A_N0,PIN_AB26,2.5 V,,,,,,,,,,,,,
seven_seg[38],Output,PIN_AB27,5B,B5B_N0,PIN_AB27,2.5 V,,,,,,,,,,,,,
seven_seg[37],Output,PIN_Y27,5B,B5B_N0,PIN_Y27,2.5 V,,,,,,,,,,,,,
seven_seg[36],Output,PIN_AA28,5B,B5B_N0,PIN_AA28,2.5 V,,,,,,,,,,,,,
seven_seg[35],Output,PIN_V25,5B,B5B_N0,PIN_V25,2.5 V,,,,,,,,,,,,,
seven_seg[34],Output,PIN_W25,5B,B5B_N0,PIN_W25,2.5 V,,,,,,,,,,,,,
seven_seg[33],Output,PIN_V23,5A,B5A_N0,PIN_V23,2.5 V,,,,,,,,,,,,,
seven_seg[32],Output,PIN_W24,5A,B5A_N0,PIN_W24,2.5 V,,,,,,,,,,,,,
seven_seg[31],Output,PIN_W22,5A,B5A_N0,PIN_W22,2.5 V,,,,,,,,,,,,,
seven_seg[30],Output,PIN_Y24,5A,B5A_N0,PIN_Y24,2.5 V,,,,,,,,,,,,,
seven_seg[29],Output,PIN_Y23,5A,B5A_N0,PIN_Y23,2.5 V,,,,,,,,,,,,,
seven_seg[28],Output,PIN_AA24,5A,B5A_N0,PIN_AA24,2.5 V,,,,,,,,,,,,,
seven_seg[27],Output,PIN_AB22,5A,B5A_N0,PIN_AB22,2.5 V,,,,,,,,,,,,,
seven_seg[26],Output,PIN_AB25,5A,B5A_N0,PIN_AB25,2.5 V,,,,,,,,,,,,,
seven_seg[25],Output,PIN_AB28,5B,B5B_N0,PIN_AB28,2.5 V,,,,,,,,,,,,,
seven_seg[24],Output,PIN_AC25,5A,B5A_N0,PIN_AC25,2.5 V,,,,,,,,,,,,,
seven_seg[23],Output,PIN_AD25,5A,B5A_N0,PIN_AD25,2.5 V,,,,,,,,,,,,,
seven_seg[22],Output,PIN_AC27,5A,B5A_N0,PIN_AC27,2.5 V,,,,,,,,,,,,,
seven_seg[21],Output,PIN_AD26,5A,B5A_N0,PIN_AD26,2.5 V,,,,,,,,,,,,,
seven_seg[20],Output,PIN_AC30,5B,B5B_N0,PIN_AC30,2.5 V,,,,,,,,,,,,,
seven_seg[19],Output,PIN_AC29,5B,B5B_N0,PIN_AC29,2.5 V,,,,,,,,,,,,,
seven_seg[18],Output,PIN_AD30,5B,B5B_N0,PIN_AD30,2.5 V,,,,,,,,,,,,,
seven_seg[17],Output,PIN_AC28,5B,B5B_N0,PIN_AC28,2.5 V,,,,,,,,,,,,,
seven_seg[16],Output,PIN_AD29,5B,B5B_N0,PIN_AD29,2.5 V,,,,,,,,,,,,,
seven_seg[15],Output,PIN_AE29,5B,B5B_N0,PIN_AE29,2.5 V,,,,,,,,,,,,,
seven_seg[14],Output,PIN_AB23,5A,B5A_N0,PIN_AB23,2.5 V,,,,,,,,,,,,,
seven_seg[13],Output,PIN_AD27,5A,B5A_N0,PIN_AD27,2.5 V,,,,,,,,,,,,,
seven_seg[12],Output,PIN_AF30,5A,B5A_N0,PIN_AF30,2.5 V,,,,,,,,,,,,,
seven_seg[11],Output,PIN_AF29,5A,B5A_N0,PIN_AF29,2.5 V,,,,,,,,,,,,,
seven_seg[10],Output,PIN_AG30,5A,B5A_N0,PIN_AG30,2.5 V,,,,,,,,,,,,,
seven_seg[9],Output,PIN_AH30,5A,B5A_N0,PIN_AH30,2.5 V,,,,,,,,,,,,,
seven_seg[8],Output,PIN_AH29,5A,B5A_N0,PIN_AH29,2.5 V,,,,,,,,,,,,,
seven_seg[7],Output,PIN_AJ29,5A,B5A_N0,PIN_AJ29,2.5 V,,,,,,,,,,,,,
seven_seg[6],Output,PIN_AH28,5A,B5A_N0,PIN_AH28,2.5 V,,,,,,,,,,,,,
seven_seg[5],Output,PIN_AG28,5A,B5A_N0,PIN_AG28,2.5 V,,,,,,,,,,,,,
seven_seg[4],Output,PIN_AF28,5A,B5A_N0,PIN_AF28,2.5 V,,,,,,,,,,,,,
seven_seg[3],Output,PIN_AG27,5A,B5A_N0,PIN_AG27,2.5 V,,,,,,,,,,,,,
seven_seg[2],Output,PIN_AE28,5A,B5A_N0,PIN_AE28,2.5 V,,,,,,,,,,,,,
seven_seg[1],Output,PIN_AE27,5A,B5A_N0,PIN_AE27,2.5 V,,,,,,,,,,,,,
seven_seg[0],Output,PIN_AE26,5A,B5A_N0,PIN_AE26,2.5 V,,,,,,,,,,,,,
sync_n,Output,PIN_C10,8A,B8A_N0,PIN_C10,2.5 V,,,,,,,,,,,,,
v_clk,Output,PIN_A11,8A,B8A_N0,PIN_A11,2.5 V,,,,,,,,,,,,,
v_sync,Output,PIN_D11,8A,B8A_N0,PIN_D11,2.5 V,,,,,,,,,,,,,
